"","virus","Spearman rho","Spearman p","Pearson R","Pearson p","Wilcox p","ttest p","Difference in means","cord pos","cord neg","child pos","child neg","odds ratio","fisher p"
"21","Human adenovirus D37",0.0380505673094962,0.623281860323243,0.0457081430190817,0.805796498607422,58.2249557226906,30.3445591677076,0.548129269646606,183,780,98,865,0.483072180087789,7.31436463945236
"22","Human adenovirus E serotype 4",0.00309383275606566,0.0345167522374097,0.0201455579782443,0.273797647119415,22.1433948513143,2.01489247621674,0.225787619818831,373,590,331,632,0.828511704885057,1.2810911455942
"23","Human adenovirus F serotype 40",0.0116374910069407,0.143700150196419,0.0404023808707353,0.677099504111743,13.3351015042145,0.443864699927401,0.05889492223798,241,722,293,670,1.30993063017141,2.0270662656094
"24","Human adenovirus F serotype 41",-0.0168213038845528,0.220365183675043,0.00462366816042719,0.0525390889163484,12.0272798554201,0.530956222884181,-0.0672801254547062,155,808,253,710,1.85698481689858,7.24760683147042
"25","Human astrovirus-1",0.0419260581939451,0.713128706098334,0.0075534527165232,0.0888915466016841,26.7257011464805,1.20345592916396,-0.180848671210509,168,795,196,767,1.20913394358542,0.935555337143694
"26","Human astrovirus-6",-0.0217572844283978,0.301028567036473,-0.0294156653315138,0.44147151599952,20.8474808499878,0.545741204600115,0.0748720057107264,145,818,154,809,1.07382088301421,0.211297010546563
"27","Human astrovirus-8",-0.00437515978292338,0.0495760426684976,0.0074246883359053,0.0872427939076115,18.545597294201,0.684911107033642,0.118728085287092,227,736,177,786,0.730260173888006,2.21780744842197
"28","Human coronavirus NL63",0.00109554683564844,0.0119275018290844,0.0283368786153003,0.420523381025725,6.38207725241359,1.50861232906974,-0.102437433082923,48,915,118,845,2.66069145697229,7.86724279132943
"29","Human cytomegalovirus",0.1299750520288,4.27571563297343,0.115101625984513,3.46249816742682,126.963698742221,146.522961862216,5.22923298512881,845,118,297,666,0.0623887898256515,152.204613391852
"30","Human hepatitis A virus genotype IA",0.0377830497464422,0.617271473690148,0.0314468030034495,0.481959545227828,23.7080728636177,33.3483083370347,0.548534820303211,104,859,6,957,0.0518229503265697,24.5944077185249
"31","Human herpesvirus 1",0.0677733286024285,1.44982322771324,0.0647953139176595,1.35256553461327,213.019946529597,264.238230719231,6.96653084887377,876,87,110,853,0.0128392792076002,304.800997762994
"32","Human herpesvirus 2",-0.0132557646615117,0.166765632502088,0.0363178100303714,0.584701304517944,216.407128216114,125.948109558266,4.06871869739012,608,355,63,900,0.040959258366453,165.196756808474
"33","Human herpesvirus 3",-0.0194300737791644,0.262049561128205,0.00875672002555108,0.104528363187795,183.063353794525,140.036348987422,2.16095986341876,460,503,39,924,0.046211097315424,118.929881860249
"34","Human herpesvirus 6A",0.00416058406518716,0.0470225362977229,0.00727091605653418,0.0852800287397511,0.27108545760405,4.52688209491077,0.209463655129334,89,874,55,908,0.595001475110392,2.38576771739656
"35","Human herpesvirus 6B",0.0282987465870314,0.419865524192717,-0.00332591515889689,0.0372036891647096,1.98966364453256,0.768248265309898,-0.142081399177339,529,434,490,473,0.849977653727115,1.08213073689872
"36","Human mastadenovirus C",0.0327136396279763,0.50799280177622,0.0744378204014171,1.68030464896133,26.2645716333773,4.83500082100447,0.762028900367576,725,238,424,539,0.258438463052243,44.2695675489819
"37","Human mastadenovirus E",-0.00586928884132902,0.0677123786838781,-0.0258059507054674,0.372876784826907,2.64829215293933,1.39178714668963,-0.142034355677212,121,842,183,780,1.63217659199041,3.87929545215106
"38","Human metapneumovirus",0.00999305548109209,0.121054742401501,-0.0117368520057704,0.14506452990618,36.1506411550319,5.98015363064274,0.373704632995557,234,729,188,775,0.755847730280317,1.88205195160174
"39","Human parainfluenza 1 virus",0.0764445175776467,1.75250885254891,0.0557227212961049,1.07605785862432,51.4184190637467,25.8731568753161,0.555761439116091,162,801,71,892,0.393744335268164,9.69481565446682
"40","Human parainfluenza 3 virus",-0.0155981457024618,0.201542832857187,-0.0446498338688575,0.779335103712492,42.8873434222517,9.51652424194583,0.630159249429062,486,477,299,664,0.442153428427149,17.3145443896837
"41","Human parainfluenza 4a virus",0.0133728145129239,0.168464244070933,0.0305185363446021,0.463285487359042,56.6660190539998,20.7978110146961,0.571590920079507,223,740,95,868,0.363374639217751,14.503766536533
"42","Human parechovirus 1",0.000865316993598686,0.00939426894790579,-0.0441062227516026,0.765896870469773,83.9323827807553,73.9411479259142,-1.73665103760309,11,952,303,660,39.6772351419052,85.9266656406375
"43","Human parechovirus 2",0.0274776373779748,0.404186356401554,-0.0310734383477906,0.474413963798812,89.3250568923464,75.6429073285448,-2.08991517049587,13,950,341,622,40.0047243877466,97.9238057474084
"44","Human parvovirus B19",0.0137443345842927,0.173882899632774,-0.00916080654675749,0.109873128079423,57.4416636331035,25.7122061311514,1.22727405931658,208,755,31,932,0.12087050853448,36.6668733441952
"45","Human respiratory syncytial virus A",0.0829631233710809,1.99901266454093,0.0658004445585436,1.38508638847044,115.855192820542,122.605489186501,4.93529612785831,962,1,498,465,0.00113175802136833,169.8100933703
"46","Human respiratory syncytial virus B",0.0605695962077084,1.21991628078418,0.018858052720463,0.252678114572021,89.7807714810872,73.4498084350023,2.6523058260377,941,22,415,548,0.0177418502226278,177.256882285968
"47","Influenza A virus",0.0284656074588987,0.423078829228183,-0.0382289710423589,0.627218217734518,122.806164959679,62.4945593382583,1.42249515901811,314,649,70,893,0.162167302424089,45.6719939585528
"48","Influenza B virus",0.0208641528104824,0.285867584987003,0.0287342329455231,0.428194629589566,207.363351653829,140.152343521656,3.75790521588201,725,238,113,850,0.0437408815118614,188.495016180109
"49","Influenza C virus",-0.02719099894033,0.398765005819501,-0.0141914049358312,0.180421799478676,58.4397228081316,7.62894196124525,0.425186436281342,151,812,111,852,0.700722736243724,2.02508736439594
"50","Lordsdale virus",0.0580114032434969,1.14291110121882,0.0605236762320979,1.21857438701317,1.17690208161024,18.6986648793843,-1.70296166751281,469,494,445,518,0.904914229705671,0.53174917697498
"51","Measles virus",0.018893869632614,0.253309347135898,0.0308673680373855,0.470269275868691,0.602468322381993,27.3595791445571,-0.957835996150446,73,890,300,663,5.51184803388454,40.2721315108023
"52","Norovirus MD145",0.0450109822080195,0.788393679646213,0.0558471355330907,1.07964406865734,4.7631664587624,6.890940343595,-0.801169566451261,494,469,430,533,0.766042891161759,2.39266393998514
"53","Norwalk virus",0.034280100146622,0.540828854114745,0.0619802577887349,1.26349924203967,9.79463772500041,24.2180194194174,-0.724242223590588,66,897,217,746,3.95067172186977,22.2450003281157
"54","Norwalk-like virus",0.0755755591525553,1.72088429565005,0.116539073902481,3.5376930063866,0.0582578572855533,9.01953894170393,-0.463298747150444,80,883,173,790,2.41599860318897,9.43407704396757
"55","Rhinovirus A",0.00678999321726277,0.0792006536908955,-0.00928118857602001,0.111474532450594,17.1682372387506,16.396583555183,-3.06653216826701,959,4,900,63,0.0596280681213452,14.3564571697596
"56","Rhinovirus B",0.0305059243671723,0.463113563737971,0.0400894085056103,0.669815683339927,6.52630642240987,3.8507185528463,0.913860483170559,962,1,850,113,0.0078294391621197,33.4462706101706
"57","Rubella virus",0.0373864965131883,0.608407247651815,0.0396739401521421,0.660199007024098,6.5844265910659,6.35503455326868,-0.553912764772089,294,669,374,589,1.44458817027028,3.81354201248146
"58","Salivirus FHB",0.0380869144393401,0.624100379897697,0.0442613949073397,0.769722137921434,4.53242121906166,0.654957704326839,0.049408434084937,54,909,66,897,1.2384326844727,0.523276485428771
"59","Sapporo virus",0.0338903460437567,0.532581458330847,0.0125858081245207,0.15709021762822,1.45409704400891,3.95399804473093,-0.189103734623196,31,932,98,865,3.40414430533309,9.10578680540181
"60","Southampton virus",0.0700952316301135,1.52807576985037,0.105728607709288,2.99293669717517,0.984158146340059,8.1750716788352,-0.407026046611671,71,892,165,798,2.59644662014994,10.2078145713493
"61","Torque teno virus",0.0737440618669976,2.92047919887417,0.0777409486654458,3.19483917774851,59.9212168873755,51.3181827671838,0.319278687280522,89,1837,20,1906,0.216677087310927,11.122721033389
"62","Varicella-zoster virus",0.018596535329773,0.24850135811271,-0.00989964088010248,0.119767949897903,182.889303667144,138.457157362386,0.99256516642555,158,805,8,955,0.0427275286893528,39.3285500899622
